file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Problem,Package,File,Priority,Line,Description,Rule set,Rule,ClassName,HasBadSmell
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\userIdMapping\UserIdMappingTest.java,io.supertokens.test.userIdMapping.UserIdMappingTest,class,19,19,0,19,59,1,0,39,210,1.0,0.0,0.0,21,1,21,0,0,0,21,0,0,0,1,0,1,0,0,0,0,0,26,624,19,4,19,9,0,115,1,158,0,149,3,0,0,0,135,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\webserver\api\session\SessionAPI.java,io.supertokens.webserver.api.session.SessionAPI,class,25,26,1,25,23,3,0,43,6,1.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,1,1,0,1,0,0,1,0,21,104,1,0,7,4,0,23,4,23,0,22,4,0,0,0,95,1,1,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\accountlinking\MultitenantTest.java,io.supertokens.test.accountlinking.MultitenantTest$TestCase,innerclass,4,4,0,4,5,1,0,3,2,0.5,0.33333334,0.33333334,4,2,4,0,0,0,4,0,0,0,2,1,1,0,0,1,0,0,1,19,0,1,0,0,0,0,0,2,0,2,1,0,0,0,18,10,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\inmemorydb\queries\multitenancy\ThirdPartyProviderSQLHelper.java,io.supertokens.inmemorydb.queries.multitenancy.ThirdPartyProviderSQLHelper$TenantThirdPartyProviderRowMapper,innerclass,7,7,0,7,5,1,0,4,0,0.0,1.0,1.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,4,19,2,0,0,1,0,18,0,3,0,2,2,0,0,0,21,9,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\webserver\api\emailpassword\SignInAPI.java,io.supertokens.webserver.api.emailpassword.SignInAPI,class,15,16,1,15,14,3,0,25,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,9,56,1,1,2,2,0,10,3,11,0,11,4,0,0,0,60,1,1,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\passwordless\api\PasswordlessDeleteCodesAPITest2_11.java,io.supertokens.test.passwordless.api.PasswordlessDeleteCodesAPITest2_11,class,14,14,0,14,14,1,0,22,21,1.0,0.0,0.0,7,1,7,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,18,127,5,0,5,2,0,58,14,39,0,37,2,0,0,0,68,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\ApiVersionAPITest.java,io.supertokens.test.ApiVersionAPITest,class,13,13,0,13,12,1,0,24,15,1.0,0.0,0.0,6,1,6,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,14,70,0,4,1,1,0,29,14,25,0,23,2,0,0,0,70,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\webserver\api\core\ApiVersionAPI.java,io.supertokens.webserver.api.core.ApiVersionAPI,class,9,10,1,9,8,3,0,6,6,1.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,1,1,0,1,0,0,1,0,0,29,2,1,0,1,0,3,2,4,0,4,3,0,0,0,46,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\accountlinking\api\LinkAccountsAPITest.java,io.supertokens.test.accountlinking.api.LinkAccountsAPITest,class,14,14,0,14,34,1,0,37,78,1.0,0.0,0.0,13,1,13,0,0,0,13,0,0,0,1,0,1,0,0,0,0,0,32,382,12,0,15,5,15,233,52,87,2,88,2,0,0,0,96,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\passwordless\Passwordless.java,io.supertokens.passwordless.Passwordless$CreateCodeInfo,innerclass,11,11,0,11,5,1,0,14,0,0.5833333,0.0,0.0,4,3,3,1,0,0,3,0,0,0,3,0,3,0,0,0,3,0,7,36,3,0,1,0,0,0,2,16,0,15,1,0,0,0,33,10,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\featureflag\FeatureFlag.java,io.supertokens.featureflag.FeatureFlag,class,14,33,19,14,37,2,0,32,0,0.6,0.46153846,0.84615386,15,6,13,2,0,0,13,0,0,0,4,2,0,4,0,0,2,0,8,140,18,2,14,3,0,2,1,22,0,16,4,0,0,2,86,1,0,,,,,,,,,,False
